category,module_title,module_file,question_id,question_type,question,answers,answer_options
Body_temperture,Fever Symptom Module,Body_temperture/fever.md,FEV-2,Temperature context,What best describes your fever?,[ ] Measured at home [ ] Felt hot but not measured [ ] Comes and goes [ ] Persistent [ ] Not sure,Measured at home; Felt hot but not measured; Comes and goes; Persistent; Not sure
Body_temperture,Fever Symptom Module,Body_temperture/fever.md,FEV-3,Associated symptoms,Do you have any of these symptoms?,[ ] Cough [ ] Sore throat [ ] Runny nose [ ] Abdominal pain [ ] Painful urination [ ] Rash,Cough; Sore throat; Runny nose; Abdominal pain; Painful urination; Rash
Body_temperture,Fever Symptom Module,Body_temperture/fever.md,FEV-6,Staff-review flags,Are any of these happening now?,[ ] Confusion [ ] Severe weakness [ ] Trouble breathing [ ] Stiff neck [ ] Purple rash [ ] None,Confusion; Severe weakness; Trouble breathing; Stiff neck; Purple rash; None
ENT,ENT Symptom Module,ENT/ent.md,ENT-1,Area,Which area is bothering you most?,[ ] Ear [ ] Nose [ ] Throat [ ] Sinus / face [ ] More than one area [ ] Not sure,Ear; Nose; Throat; Sinus / face; More than one area; Not sure
ENT,ENT Symptom Module,ENT/ent.md,ENT-2,Main symptom,What symptom do you have?,[ ] Pain [ ] Congestion [ ] Sore throat [ ] Hearing change [ ] Discharge [ ] Bleeding,Pain; Congestion; Sore throat; Hearing change; Discharge; Bleeding
ENT,ENT Symptom Module,ENT/ent.md,ENT-6,Staff-review flags,Are any of these happening now?,[ ] Trouble breathing [ ] Drooling / cannot swallow saliva [ ] Severe neck swelling [ ] Severe bleeding [ ] Sudden hearing loss [ ] None,Trouble breathing; Drooling / cannot swallow saliva; Severe neck swelling; Severe bleeding; Sudden hearing loss; None
Eye,Eye Symptom Module,Eye/eye.md,EYE-1,Eye involved,Which eye is affected?,[ ] Left [ ] Right [ ] Both [ ] Not sure,Left; Right; Both; Not sure
Eye,Eye Symptom Module,Eye/eye.md,EYE-2,Main symptom,What is the main eye problem?,[ ] Redness [ ] Pain [ ] Discharge [ ] Vision change [ ] Itching [ ] Swelling,Redness; Pain; Discharge; Vision change; Itching; Swelling
Eye,Eye Symptom Module,Eye/eye.md,EYE-3,Onset,How did it start?,[ ] Suddenly [ ] Gradually [ ] After injury [ ] After chemical exposure [ ] After contact lens use [ ] Not sure,Suddenly; Gradually; After injury; After chemical exposure; After contact lens use; Not sure
Eye,Eye Symptom Module,Eye/eye.md,EYE-6,Staff-review flags,Are any of these happening now?,[ ] Sudden vision loss [ ] Severe eye pain [ ] Chemical exposure [ ] Penetrating injury concern [ ] New unequal pupils [ ] None,Sudden vision loss; Severe eye pain; Chemical exposure; Penetrating injury concern; New unequal pupils; None
GI,Abdominal Swelling And Ascites Symptom Module,GI/abdominal_swelling_ascites.md,ASA-1,Main symptom,What abdominal change do you notice?,[ ] Swelling / bloating [ ] Rapid increase in size [ ] Tight abdomen [ ] Weight gain with swelling [ ] Not sure,Swelling / bloating; Rapid increase in size; Tight abdomen; Weight gain with swelling; Not sure
GI,Abdominal Swelling And Ascites Symptom Module,GI/abdominal_swelling_ascites.md,ASA-2,Onset,When did it start?,[ ] Today [ ] 1-3 days ago [ ] 4-7 days ago [ ] More than 1 week ago [ ] Long-term issue [ ] Not sure,Today; 1-3 days ago; 4-7 days ago; More than 1 week ago; Long-term issue; Not sure
GI,Abdominal Swelling And Ascites Symptom Module,GI/abdominal_swelling_ascites.md,ASA-3,Pain,Do you have abdominal pain?,[ ] No pain [ ] Mild [ ] Moderate [ ] Severe [ ] Not sure,No pain; Mild; Moderate; Severe; Not sure
GI,Abdominal Swelling And Ascites Symptom Module,GI/abdominal_swelling_ascites.md,ASA-5,Staff-review flags,Are any of these happening now?,[ ] Severe abdominal pain [ ] Fever with swollen abdomen [ ] Trouble breathing [ ] Vomiting blood / black stool [ ] Confusion [ ] None,Severe abdominal pain; Fever with swollen abdomen; Trouble breathing; Vomiting blood / black stool; Confusion; None
GI,Diarrhea And Constipation Symptom Module,GI/diarrhea_constipation.md,DC-1,Main problem,What bowel problem do you have?,[ ] Diarrhea [ ] Constipation [ ] Alternating diarrhea and constipation [ ] Blood in stool [ ] Not sure,Diarrhea; Constipation; Alternating diarrhea and constipation; Blood in stool; Not sure
GI,Diarrhea And Constipation Symptom Module,GI/diarrhea_constipation.md,DC-3,Stool pattern,What best describes the stool?,[ ] Watery [ ] Hard / pellet-like [ ] Black [ ] Bloody [ ] Mucus [ ] Not sure,Watery; Hard / pellet-like; Black; Bloody; Mucus; Not sure
GI,Diarrhea And Constipation Symptom Module,GI/diarrhea_constipation.md,DC-5,Staff-review flags,Are any of these happening now?,[ ] Blood or black stool [ ] Severe abdominal pain [ ] Unable to pass stool or gas with swelling [ ] Fainting [ ] Unable to keep fluids [ ] None,Blood or black stool; Severe abdominal pain; Unable to pass stool or gas with swelling; Fainting; Unable to keep fluids; None
GI,Dysphagia Symptom Module,GI/dysphagia.md,DYS-1,Main problem,What swallowing problem do you have?,[ ] Trouble swallowing solids [ ] Trouble swallowing liquids [ ] Food feels stuck [ ] Pain with swallowing [ ] Coughing / choking while swallowing [ ] Not sure,Trouble swallowing solids; Trouble swallowing liquids; Food feels stuck; Pain with swallowing; Coughing / choking while swallowing; Not sure
GI,Dysphagia Symptom Module,GI/dysphagia.md,DYS-2,Onset,When did this start?,[ ] Suddenly [ ] Today [ ] 1-7 days ago [ ] More than 1 week ago [ ] Gradually over months [ ] Not sure,Suddenly; Today; 1-7 days ago; More than 1 week ago; Gradually over months; Not sure
GI,Dysphagia Symptom Module,GI/dysphagia.md,DYS-3,Location feeling,Where does it feel stuck or painful?,[ ] Throat [ ] Chest [ ] Upper abdomen [ ] Not painful / not stuck [ ] Not sure,Throat; Chest; Upper abdomen; Not painful / not stuck; Not sure
GI,Dysphagia Symptom Module,GI/dysphagia.md,DYS-5,Staff-review flags,Are any of these happening now?,[ ] Cannot swallow saliva [ ] Trouble breathing [ ] Choking episode [ ] New trouble speaking / weakness [ ] Severe chest pain [ ] None,Cannot swallow saliva; Trouble breathing; Choking episode; New trouble speaking / weakness; Severe chest pain; None
GI,Gastrointestinal Bleeding Symptom Module,GI/gastrointestinal_bleeding.md,GIB-1,Bleeding type,What bleeding did you notice?,[ ] Vomiting blood [ ] Coffee-ground vomit [ ] Black stool [ ] Red blood in stool [ ] Blood on toilet paper [ ] Not sure,Vomiting blood; Coffee-ground vomit; Black stool; Red blood in stool; Blood on toilet paper; Not sure
GI,Gastrointestinal Bleeding Symptom Module,GI/gastrointestinal_bleeding.md,GIB-2,Amount,How much bleeding is there?,[ ] Small streaks [ ] Small amount [ ] Moderate amount [ ] Large amount / clots [ ] Not sure,Small streaks; Small amount; Moderate amount; Large amount / clots; Not sure
GI,Gastrointestinal Bleeding Symptom Module,GI/gastrointestinal_bleeding.md,GIB-3,Timing,When did it start?,[ ] Just now [ ] Today [ ] 1-3 days ago [ ] More than 3 days ago [ ] Not sure,Just now; Today; 1-3 days ago; More than 3 days ago; Not sure
GI,Gastrointestinal Bleeding Symptom Module,GI/gastrointestinal_bleeding.md,GIB-5,Staff-review flags,Are any of these happening now?,[ ] Large bleeding [ ] Fainting [ ] Severe weakness [ ] Severe abdominal pain [ ] Taking blood thinner medicine [ ] None,Large bleeding; Fainting; Severe weakness; Severe abdominal pain; Taking blood thinner medicine; None
GI,Jaundice Symptom Module,GI/jaundice.md,JAU-1,Observation,What did you notice?,[ ] Yellow eyes [ ] Yellow skin [ ] Dark urine [ ] Pale stool [ ] Itchy skin [ ] Not sure,Yellow eyes; Yellow skin; Dark urine; Pale stool; Itchy skin; Not sure
GI,Jaundice Symptom Module,GI/jaundice.md,JAU-2,Onset,When did it start?,[ ] Today [ ] 1-3 days ago [ ] 4-7 days ago [ ] More than 1 week ago [ ] Not sure,Today; 1-3 days ago; 4-7 days ago; More than 1 week ago; Not sure
GI,Jaundice Symptom Module,GI/jaundice.md,JAU-3,Associated symptoms,Do you have any of these symptoms?,[ ] Fever [ ] Right upper abdominal pain [ ] Nausea / vomiting [ ] Weight loss [ ] Fatigue [ ] None,Fever; Right upper abdominal pain; Nausea / vomiting; Weight loss; Fatigue; None
GI,Jaundice Symptom Module,GI/jaundice.md,JAU-5,Staff-review flags,Are any of these happening now?,[ ] Fever with abdominal pain [ ] Confusion [ ] Severe weakness [ ] Vomiting blood / black stool [ ] Severe abdominal pain [ ] None,Fever with abdominal pain; Confusion; Severe weakness; Vomiting blood / black stool; Severe abdominal pain; None
